(u'Puducherry',288
(u'Jind',156
(u'Kondagaon',275
(u'Muzaffarnagar',1323
(u'Bidar',737
(u'Akola',650
(u'Siddharthnagar',1806
(u'Kanpur Nagar',1957
(u'East Khasi Hills',3002
(u'Longding',213
(u'Alappuzha',1709
(u'Bagalkot',861
(u'Jhabua',486
(u'Hoshiarpur',1221
(u'Haveri',920
(u'Mandi',307
(u'Udhampur',184
(u'Narayanpur',24
(u'Dhamtari',145
(u'Hamirpur',491
(u'Lohit',134
(u'Una',109
(u'New Delhi',60
(u'Dibrugarh',449
(u'Solan',179
(u'Kolar',773
(u'Sonbhadra',341
(u'Tikamgarh',424
(u'Vaishali',1941
(u'Vadodara',2533
(u'Rudraprayag',39
(u'Bishnupur',380
(u'Sirmaur',150
(u'Varanasi',1260
(u'Latehar',189
(u'Shrawasti',1515
(u'Meerut',1094
(u'Solapur',1469
(u'Araria',1405
(u'Jaipur',4661
(u'Ramanathapuram',1425
(u'Satna',587
(u'Mandla',186
(u'Aurangabad',2251
(u'Thoothukkudi',694
(u'Koraput',1151
(u'Theni',694
(u'Krishna',888
(u'Purnia',1079
(u'Vellore',1559
(u'Sheopur',289
(u'Gajapati',260
(u'Erode',1036
(u'Singrauli',300
(u'Hanumangarh',447
(u'Azamgarh',2743
(u'Ri Bhoi',237
(u'Paschim Medinipur',2954
(u'Bhind',748
(u'Villupuram',1242
(u'Gadchiroli',206
(u'Cooch Behar',1161
(u'Sultanpur',1094
(u'Ramgarh',184
(u'North 24 Parganas',4049
(u'Pithoragarh',94
(u'Katni',360
(u'Sidhi',344
(u'Surat',2961
(u'Imphal West',460
(u'Mewat',328
(u'Gariyaband',81
(u'Prakasam',686
(u'Warangal',869
(u'Bangalore Rural',484
(u'Barpeta',700
(u'Medak',607
(u'Amravati',903
(u'Namakkal',889
(u'Saharsa',1388
(u'Lalitpur',372
(u'Cuttack',1267
(u'Khowai',73
(u'Gonda',2024
(u'Nalanda',1747
(u'Dharwad',656
(u'Muzaffarpur',2858
(u'Navsari',741
(u'Panipat',208
(u'Jhalawar',507
(u'Uttara Kannada',824
(u'South Garo Hills',48
(u'Mathura',1641
(u'Chitradurga',685
(u'West Sikkim',38
(u'Rajkot',1616
(u'Kannur',4133
(u'Hingoli',240
(u'Darrang',227
(u'Ujjain',487
(u'Samastipur',2399
(u'Ramanagar',364
(u'Mahendragarh',159
(u'Sitamarhi',1552
(u'Ghazipur',2294
(u'Namsai',251
(u'Sibsagar',355
(u'Haridwar',425
(u'Sahebganj',171
(u'Tarn Taran',774
(u'Barddhaman',2714
(u'Shimla',219
(u'Mahoba',366
(u'Nagapattinam',1272
(u'Kapurthala',560
(u'Auraiya',538
(u'West Kameng',173
(u'Mirzapur',735
(u'Dibang Valley',11
(u'Kanker',122
(u'Lakhimpur',579
(u'Lohardaga',155
(u'Moradabad',1042
(u'West Garo Hills',345
(u'Begusarai',1467
(u'Dahod',1761
(u'Tinsukia',591
(u'Jehanabad',675
(u'Malkangiri',293
(u'Satara',835
(u'Agra',2454
(u'Chamba',129
(u'Gomati',127
(u'Raichur',1298
(u'Chamrajanagar',488
(u'Dhule',644
(u'Kathua',216
(u'Bhavnagar',1052
(u'Dhubri',721
(u'Lakshadweep',65
(u'North East Delhi',548
(u'Dhenkanal',524
(u'Banswara',383
(u'Yamuna Nagar',207
(u'Ballia',1507
(u'Rae Bareli',1134
(u'Nalbari',186
(u'Barwani',556
(u'Davangere',791
(u'Chandauli',688
(u'Ananthapuramu',926
(u'Kannauj',923
(u'Tehri Garhwal',101
(u'Kolkata',1878
(u'Jaunpur',2220
(u'Damoh',343
(u'Bhojpur',2648
(u'Kodagu',352
(u'Serchhip',51
(u'Vidisha',429
(u'Udaipur',1354
(u'Lucknow',2884
(u'Nabarangapur',557
(u'Lahul and Spiti',10
(u'Dholpur',805
(u'Longleng',30
(u'Dewas',471
(u'Fatehgarh Sahib',404
(u'Others',112
(u'Shaheed Bhagat Singh Nagar',636
(u'Tiruvallur',2619
(u'Punch',1171
(u'Chirang',368
(u'Mahesana',1227
(u'Kishanganj',1233
(u'Jodhpur',1890
(u'Kota',1023
(u'Sawai Madhopur',586
(u'Saran',2483
(u'Karauli',847
(u'Koriya',116
(u'Etawah',513
(u'Rewa',590
(u'Nagpur',1032
(u'Devbhumi Dwarka',411
(u'North Goa',426
(u'Bhandara',230
(u'Madurai',1434
(u'Kishtwar',94
(u'Deoghar',349
(u'Khargone',580
(u'Rajgarh',461
(u'Gautam Buddha Nagar',1573
(u'Thanjavur',2286
(u'Uttar Bastar Kanker',44
(u'Kaithal',103
(u'Uttarkashi',41
(u'Kaushambi',664
(u'Bargarh',502
(u'Buldhana',931
(u'Visakhapatnam',1179
(u'Gondiya',332
(u'Anand',1265
(u'Sambalpur',529
(u'Betul',324
(u'Nainital',173
(u'Purba Medinipur',1718
(u'East Delhi',723
(u'Surajpur',187
(u'Washim',304
(u'Budgam',659
(u'Tirunelveli',1260
(u'Kushinagar',1380
(u'Adilabad',410
(u'Gorakhpur',2893
(u'Nagaon',1004
(u'Salem',1440
(u'Pune',5596
(u'Sonitpur',1054
(u'Kandhamal',719
(u'Kamrup',495
(u'Tirap',109
(u'Patiala',630
(u'Nalgonda',550
(u'Sundergarh',1238
(u'Dindori',91
(u'Peren',68
(u'Ramban',93
(u'Yadgir',552
(u'Dungarpur',324
(u'Krishnagiri',827
(u'North Sikkim',7
(u'Lawngtlai',422
(u'Jammu',601
(u'Sant Kabir Nagar',886
(u'Chandrapur',689
(u'Dakshin Dinajpur',680
(u'Kachchh',1647
(u'Kamrup Metro',732
(u'Bareilly',1631
(u'Imphal East',595
(u'Jabalpur',575
(u'Sheohar',316
(u'Darjeeling',853
(u'Kanpur Dehat',577
(u'Bokaro',436
(u'Hazaribagh',498
(u'Bhagalpur',1461
(u'Gandhinagar',1254
(u'Chatra',230
(u'Almora',117
(u'Dumka',244
(u'Balangir',914
(u'Birbhum',1191
(u'Umaria',105
(u'Mungeli',141
(u'Ernakulam',2242
(u'Aligarh',1731
(u'Lunglei',449
(u'Mahasamund',190
(u'Rajsamand',697
(u'Ferozepur',395
