Registrar,Enrolment Agency,State,District,Sub District,Pin Code,Gender,Age,Aadhaar generated,Enrolment Rejected,Residents providing email,Residents providing mobile number
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Hamirpur,Himachal Pradesh,Hamirpur,Barsar(t),176041,M,0,0,1,0,0
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup,GMC,781032,F,34,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781005,F,53,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781005,M,29,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781022,F,42,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781022,M,32,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781022,M,49,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781028,F,23,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781028,F,42,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781029,F,25,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781029,F,29,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781029,F,33,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781029,F,56,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781029,F,59,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781029,M,26,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781037,F,53,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781037,M,61,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781009,M,37,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Sonitpur,Helem,784172,F,28,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Meghalaya,South Garo Hills,Baghmara,794103,M,34,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Assam,Udalguri,Dhekiajuli,784111,F,26,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400058,M,63,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400059,M,60,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400069,M,5,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Kurla,400083,M,2,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421301,F,4,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421301,M,2,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421301,M,4,2,0,0,2
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421306,F,3,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Thane,400605,F,1,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Banda,Banda,210001,M,4,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Lakhimpur,262728,M,10,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Hooghly,Chinsurah - Magra,712148,F,6,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Hooghly,Chinsurah - Magra,712148,F,7,1,0,0,1
