Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Nellore,Nellore,524002,M,30,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Nellore,Nellore,524004,M,3,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Prakasam,Darsi,523247,F,1,1,0,1,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Vizianagaram,Cheepurupalle,535002,M,0,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,West Godavari,Akividu,534235,F,3,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,West Godavari,Akividu,534235,F,47,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,West Godavari,Akividu,534235,F,56,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,West Godavari,Akividu,534235,M,0,2,0,0,2
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,West Godavari,Akividu,534235,M,2,1,0,0,1
Andhra Bank,United Telecoms Ltd,Assam,Karbi Anglong,Diphu,782460,M,24,1,0,0,1
Andhra Bank,United Telecoms Ltd,Bihar,Begusarai,Garhpura,848204,F,7,0,1,0,0
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Amberpet,500013,F,1,3,0,0,3
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Amberpet,500013,F,3,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Amberpet,500013,M,0,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Amberpet,500013,M,1,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Amberpet,500013,M,2,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Amberpet,500013,M,4,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Amberpet,500013,M,53,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Musheerabad,500044,F,5,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Musheerabad,500044,F,14,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,K.v. Rangareddy,Saroornagar,500035,F,26,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,K.v. Rangareddy,Saroornagar,500035,F,62,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,K.v. Rangareddy,Uppal,500039,F,3,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,K.v. Rangareddy,Uppal,500039,F,36,1,0,1,1
Andhra Bank,United Telecoms Ltd,Telangana,Medak,Ramachandrapuram,502032,M,4,1,0,1,1
Andhra Bank,United Telecoms Ltd,Telangana,Nalgonda,Mothkur,508277,F,0,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Nalgonda,Yadagirigutta,508115,M,1,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Warangal,Warangal,506002,F,54,1,0,0,1
Andhra Bank,United Telecoms Ltd,West Bengal,South 24 Parganas,Sonarpur,700084,M,24,1,0,1,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Ananthapuramu,Gandlapenta,515521,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Ananthapuramu,Kadiri,515591,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Ananthapuramu,Kadiri,515591,F,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Ananthapuramu,Kadiri,515591,M,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Kakinada (urban),533002,M,5,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Kakinada (urban),533002,M,37,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Kakinada (urban),533002,M,44,1,0,1,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Kakinada (urban),533003,F,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Kakinada (urban),533003,M,32,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Kakinada Rural,533005,F,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Samarlakota,533005,F,6,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Tuni,533401,F,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Krishna,Vijayawada (urban),520012,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Prakasam,Kanigiri,523108,M,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Prakasam,Tangutur,523272,M,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Amudalavalasa,532484,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Mandasa,532263,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Mandasa,532264,M,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Ponduru,532484,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532001,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532001,F,2,1,0,1,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532001,M,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532001,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532001,M,63,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532185,F,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532185,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532401,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531001,F,0,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531001,M,0,1,0,0,1
