 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & De rths cum Chief Medical Officer  Lahaul spiti,Himachal Pradesh,Lahul and Spiti,Udaipur (s.t),175139,M,3,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Mandi,Himachal Pradesh,Hamirpur,Nadaun(t),177006,M,0,0,1,1,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Mandi,Himachal Pradesh,Kangra,Baijnath,176125,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Mandi,Himachal Pradesh,Mandi,Karsog(t),171304,M,0,0,1,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Shimla,Himachal Pradesh,Shimla,Theog(t),171209,M,0,0,1,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Shimla,Himachal Pradesh,Solan,Arki(t),173207,F,0,0,3,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Shimla,Himachal Pradesh,Solan,Solan,173212,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Sirmour,Himachal Pradesh,Sirmaur,Dadahu,173001,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Solan,Himachal Pradesh,Sirmaur,Rajgarh(t),173101,M,0,0,1,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Solan,Himachal Pradesh,Solan,Solan,173211,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Una,Himachal Pradesh,Una,Bangana,174320,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Una,Himachal Pradesh,Una,Haroli,176601,M,0,0,1,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Bilaspur,Himachal Pradesh,Bilaspur,Bilaspur Sadar,174001,M,2,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Chamba,Himachal Pradesh,Chamba,Brahmaur,176315,F,3,0,3,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Chamba,Himachal Pradesh,Kangra,Shahpur,176208,M,0,0,1,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Hamirpur,Himachal Pradesh,Bilaspur,Ghumarwin(t),174023,M,0,0,1,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Hamirpur,Himachal Pradesh,Hamirpur,Hamirpur(t),177022,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Hamirpur,Himachal Pradesh,Kangra,Thural,176075,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Kangra,Baroh,176054,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Kangra,Dera Gopipur,176031,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Kangra,Dera Gopipur,177114,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Kangra,For New VTC,176056,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Kangra,Indora,176022,M,0,0,1,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Kangra,Kangra(t),176047,M,0,0,1,0,0
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Kangra,Khundian,176030,M,0,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Una,Amb(t),177205,M,0,0,1,1,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kullu,Himachal Pradesh,Kullu,For New VTC,175101,F,1,0,1,0,1
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kullu,Himachal Pradesh,Kullu,Sainj,175134,M,0,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Sultanpur,Sultanpur,227408,F,4,0,2,0,2
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Sultanpur,Sultanpur,227408,F,7,0,1,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Chirang,Bijni,783392,M,31,0,1,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Pathorighat,784144,M,23,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup,GMC,781032,M,29,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Assam,Udalguri,Dalgaon,784113,M,23,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Borivali,400092,M,70,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Borivali,400104,M,7,0,1,0,0
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Nagpur,Nagpur,440024,M,42,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Raigarh,Panvel,410208,M,12,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421306,F,7,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Thane,400612,F,24,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Madhogarh,285121,M,56,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Madhogarh,285126,F,5,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Lakhimpur,262726,M,21,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Hooghly,Polba - Dadpur,712123,M,6,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Howrah,Domjur,711403,M,8,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Malda,Gazole,732138,F,29,1,0,0,1
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Buldhana,Deolgaon Raja,443204,M,30,0,1,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Jalna,Bhokardan,431213,F,32,0,1,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Kolhapur,Karvir,416003,F,12,0,1,0,0
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Nellore,Nellore,524002,M,25,0,1,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (urban),530013,M,21,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,K.v. Rangareddy,Rajendranagar,500052,F,3,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Nalgonda,Yadagirigutta,508115,M,0,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Warangal,Palakurthi,506222,M,3,1,0,0,1
Andhra Bank,United Telecoms Ltd,West Bengal,North 24 Parganas,North 24 Paraganas,700052,F,5,1,0,0,1
Andhra Bank,United Telecoms Ltd,West Bengal,North 24 Parganas,North 24 Paraganas,700052,F,67,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Kakinada (urban),533001,M,4,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Mandapeta,533340,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Ramachandrapuram,533255,F,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Ramachandrapuram,533255,M,4,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Krishna,Mylavaram,521230,M,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Prakasam,Markapur,523329,F,5,0,1,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Prakasam,Markapur,523329,M,0,0,1,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Rajam,532127,F,11,0,1,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Srikakulam,Srikakulam,532405,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531001,F,2,0,1,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531002,F,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Gajuwaka,530026,M,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,K.kotapadu,531034,M,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,F,0,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,F,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,F,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Munagapaka,531001,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Munagapaka,531033,F,0,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Munagapaka,531033,F,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (rural),530028,M,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (urban),530022,F,0,1,0,0,1
