
11.5837290287
Jilla E-seva Sadan  Dahod,1252
EAC OFFICE KAYING/CO PAYUM,49
Department of IT  Chandigarh,1319
Deptt. Of Economics & Statistics  Anini,16
Extra Assistant Commissioner Yingkiong,764
Rajcomp Info Services Ltd,48590
Mahanagar Seva Sadan Vadodara,3153
ADC Chozuba,61
Vakrangee Softwares Limited,2156
Squaria Global India Private Limited,7715
DATASOFT COMPUTER SERVICES(P),6658
district Health& Family Welfare Society Sirsa,10
N.K. Sharma Enterprises Ltd.,45
DC office Aalo,359
Nevaeh Technology Pvt. Ltd.,10259
District Registrar Births & Deaths cum Chief Medical Officer Bilaspur,4
Directorate of Secondary Education  Haryana,80
SPANCO,0
V P SOFTWARES PRIVATE LIMITED,561
Aayam Enterprises,121
District Magistrate & Collector  West Tripura District,727
NPS Technologies Pvt. Ltd,104
e-Seva Society UID Dang,63
Dist. E-seva Society Morbi,787
District IT Society Palwal,29
COMAT TECHNOLOGIES P LTD,0
Saket Advertising Pvt. Ltd,20
DC Longleng,88
District Registrar Births & Deaths cum Chief Medical Officer  Una,10
Circle Officer  Roing1,256
ADC Tamlu,4
Narayana Electricals Solution Pvt Ltd,0
Punjab State Child Protection Society of Department of Social Security and Women & Child Developmen,3889
VISION COMPTECH INTEGRATOR LTD,5379
Viesa Technologies,0
District Sukhmani Society Bathinda Punjab,3
Path Darshan Sewa Sansthan,28
Techno Bytes Information Pvt. Ltd,20
Obel projects Pvt Ltd,0
Synapses Solutions Private Limited,9
IL&FS LTD,0
Home Life Buildcon Pvt Ltd,28
Chinar Construction Company Prime agency,19353
District Family and Welfare Society Yamuna Nagar,8
District IT Society Hisar,432
Circle Officer Toru,492
E-Seva Society UID Patan,598
eCentric solutions pvt ltd,0
Lankipalli Integrated Services Private Limited,242
Corporate India Facilities Pvt Ltd,1668
Ricoh India Limited,0
Redim Software Technologies Pvt Ltd,0
District IT Society Panipat,195
PRADIK IMPEX PRIVATE LIMITED,124
VIKALP MULTIMEDIA,0
Business Information Processing Services,1
District Sukhmani Society  Jalandhar  Punjab,0
Yuvaan Infotech,2006
Vedavaag Systems Limited,733
TAMILNADU ARASU CABLE TV CORPORATION LTD,30402
District E-Seva Society Navsari,1136
District E-Seva Society,95
SDO Angjangyang,19
Youth Infosolutions Pvt. Ltd.,3812
EDCS GOK,17181
Sahaj e-Village Limited,0
Mahaonline Limited,69277
E-Seva Society Junagadh,599
M/s Smit Advertisers Pvt. Ltd.,617
Directorate of Public Health and Family Welfare  Govt of Andhra Pradesh,254
MEGHA VINCOM PVT LTD,1645
E-Seva Society Porbandar,271
MARS Telecom Systems Pvt Ltd,832
4G INFORMATICS,0
HDFC Bank Limited,0
ADC Niuland,7
Karvy Data Management Services,18952
District Magistrate & Collector  NorthTripura District,423
FINANCIAL INFORMATION NETWORK,632
Department of IT  Govt. of HP,1904
Abha Systems And Consultancy,2729
Surat Municipal Corporation,3215
GDC Advertising Pvt. Limited,0
M/s TAVASYA VENTURE PARTNERS PVT. LTD.,4674
Webx Technologies Private Limited,0
Jilla E-Seva Society Vadodara,471
E-Seva Society Bhavnagar,1047
UT of Daman and Diu,426
UT Computers Educational & Welfare Soc,2001
GLODYNE TECHNOSERVE,0
AISECT Limited,10633
CHESSY CONSULTANTS PVT LTD,0
DC Wokha,102
Nielsen  India  Private Limited,5586
