
13.8165640831
(u'Bengaluru', u'M'),10153
(u'Ahmedabad', u'M'),6655
(u'Pune', u'M'),6211
(u'Jaipur', u'M'),5040
(u'Malappuram', u'M'),4869
(u'Kannur', u'M'),4343
(u'North 24 Parganas', u'M'),4232
(u'Thrissur', u'M'),4204
(u'East Champaran', u'M'),4190
(u'Kancheepuram', u'M'),3829
